ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11282308,JB220014,4/10/2018 16:30,056XX S EVERETT DR,810,THEFT,OVER $500,STREET,FALSE,FALSE,331,3,5,41,6,1189114,1868146,2018,5/4/2018 15:51,41.79325007,-87.5820674,"(41.793250072, -87.582067395)"
11443084,JB431279,9/11/2018 15:00,011XX E 56TH ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,235,2,5,41,7,1184862,1868110,2018,9/18/2018 16:08,41.79325219,-87.59765997,"(41.793252191, -87.597659972)"
11425832,JB408659,8/10/2018 22:00,011XX E 56TH ST,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,235,2,5,41,6,1184908,1868111,2018,8/29/2018 15:59,41.79325386,-87.59749127,"(41.793253855, -87.597491265)"
11333565,JB287942,5/31/2018 16:30,011XX E 56TH ST,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,235,2,5,41,6,1184877,1868111,2018,6/7/2018 15:54,41.79325458,-87.59760494,"(41.793254583, -87.597604938)"
11279872,JB207916,4/1/2018 20:59,012XX E 56TH ST,031A,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,235,2,5,41,3,1185320,1868122,2018,5/4/2018 15:51,41.79327435,-87.59598018,"(41.793274353, -87.595980176)"
11227317,JB147197,2/9/2018 17:00,013XX E 56TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,235,2,5,41,14,1185853,1868136,2018,5/4/2018 15:51,41.79330021,-87.5940253,"(41.793300208, -87.594025302)"
11498469,JB504414,11/5/2018 13:05,013XX E 56TH ST,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,235,2,5,41,3,1186238,1868145,2018,11/12/2018 16:33,41.79331581,-87.59261328,"(41.793315811, -87.592613279)"
11535529,JB552616,12/13/2018 20:40,014XX E 56TH ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,FALSE,FALSE,235,2,5,41,11,1186686,1868155,2018,12/20/2018 16:12,41.79333265,-87.59097021,"(41.793332648, -87.590970213)"
11229975,JB150882,2/11/2018 20:00,014XX E 56TH ST,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,FALSE,FALSE,235,2,5,41,6,1186640,1868155,2018,5/4/2018 15:51,41.79333374,-87.59113889,"(41.793333738, -87.591138888)"
11389787,JB361395,7/18/2018 15:00,014XX E 56TH ST,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,235,2,5,41,6,1186640,1868155,2018,7/26/2018 15:48,41.79333374,-87.59113889,"(41.793333738, -87.591138888)"
